"2023-12-15 13:12:48 [main] INFO  c.g.P.i.ImageshackApplication - Starting ImageshackApplication using Java 14.0.1 on DESKTOP-BT9LF8K with PID 11608 (D:\workspace\java\imageshack\target\classes started by Malako in D:\workspace\java\imageshack)
""2023-12-15 13:12:48 [main] INFO  c.g.P.i.ImageshackApplication - The following profiles are active: prod
""2023-12-15 13:12:49 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2023-12-15 13:12:49 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 140 ms. Found 5 JPA repository interfaces.
""2023-12-15 13:12:50 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@4a14c44f' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2023-12-15 13:12:50 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2023-12-15 13:12:50 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-12-15 13:12:50 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-12-15 13:12:50 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
""2023-12-15 13:12:50 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-12-15 13:12:50 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2693 ms
""2023-12-15 13:12:51 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2023-12-15 13:12:52 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2023-12-15 13:12:52 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
""2023-12-15 13:12:53 [main] INFO  liquibase.changelog - Reading from imageshack_prod.DATABASECHANGELOG
""2023-12-15 13:12:53 [main] INFO  liquibase.lockservice - Successfully released change log lock
""2023-12-15 13:12:53 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
""2023-12-15 13:12:53 [main] WARN  liquibase.hub - Skipping auto-registration
""2023-12-15 13:12:53 [main] INFO  liquibase.lockservice - Successfully released change log lock
""2023-12-15 13:12:55 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2023-12-15 13:12:56 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2023-12-15 13:12:56 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@12e13abd, org.springframework.security.web.context.SecurityContextPersistenceFilter@189f3ccd, org.springframework.security.web.header.HeaderWriterFilter@34a482d0, org.springframework.security.web.authentication.logout.LogoutFilter@77e261e3, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5bbb0a25, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@82382d1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@e75bae7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5694f6a0, org.springframework.security.web.session.SessionManagementFilter@6939f18a, org.springframework.security.web.access.ExceptionTranslationFilter@30ce78e3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@213bd66a]
""2023-12-15 13:12:57 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
""2023-12-15 13:12:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-12-15 13:12:57 [main] INFO  c.g.P.i.ImageshackApplication - Started ImageshackApplication in 9.891 seconds (JVM running for 10.728)
""2023-12-15 13:12:57 [main] INFO  c.g.P.i.ImageshackApplication - Application started
""2023-12-15 13:13:05 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2023-12-15 13:13:05 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2023-12-15 13:13:05 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
"
